id,title,content,date,created_at,updated_at,link,organizer,typesite,typeid
1,Durham Lunch,<p><span>Please invite people you know or work with that you think would be interested in talking about agile software dev!</span></p>,2013-06-13,2013-06-13 02:49:08.577548,2013-06-13 02:49:08.577548,http://www.meetup.com/Agile-Lunches-Raleigh-Durham/events/119927182/,Agile Lunches in Raleigh/Durham,,
2,"DevDroid Meetup - Hellos, Hacking (BYOPC,BYOM)","<p>DevDroid members,</p>
<p>We have confirmed the <a href=""http://www.royalbeancoffeehouse.com/"">Royal Bean Coffee House</a> for <strong>2nd Thursday Monthly</strong> Regular DevDroid meetings. They have plenty of sofas and tables with power and wi-fi. Lots of free parking.</p>
<p><a href=""http://royalbeancoffeehouse.com/blog/home/"">Royal Bean Coffee House</a> <br />

 3801-137 Hillsborough Street <br />

 Raleigh, NC 27607</p>
<p><span style=""text-decoration : underline""><strong>Hours:</strong></span> <br />

 Monday-<strong>Thursday</strong>: 7am-11pm <br />

 Fridays: 7am-11pm <br />

 Saturday: 8am-11pm <br />

 Sunday: 8am-10pm <br />

 (919) 834-2326</p>
<p> </p>
<p>The <strong>theme</strong> for the <strong>initial</strong> meetup is <strong>greeting, intros, hacking</strong>. Subsequent 2nd Thursday Monthly meetups will have less greetings, intros and more specific types of hacking.</p>",2013-06-13,2013-06-13 02:49:08.635261,2013-06-13 02:49:08.635261,http://www.meetup.com/DevDroid/events/115897742/,Dev Droid - Triangle Android Developers,,
3,Regular Meeting of the AMG (Socializing and MFNC Final Plans),"<p>Its time for the next open meeting of the Alamance Makers Guild!</p>
<p>This meeting will be a little more low key than some of our recent meetings, no set speaker or theme other than our normal Show-N-Tell, Socializing, and Final planning for our booth at Maker Faire NC (coming up on the 15th of June!)</p>
<p>We'll have MiMi's Pizza buffet style ($5 for those who wish to eat) as always.</p>
<p>Bring your projects, photos, videos, or other items for Show-N-Tell!</p>
<p>Looking forward to seeing folks again!</p>",2013-06-13,2013-06-13 02:49:08.646146,2013-06-13 02:49:08.646146,http://www.meetup.com/The-Burlington-Makers-Meetup-Group/events/122901112/,The Burlington Makers Meetup Group,,
4,Cookout + Game night!,<br />,2013-06-14,2013-06-13 02:49:08.653392,2013-06-13 02:49:08.653392,http://www.meetup.com/Raleigh-Nerd-Herd/events/117049352/,Raleigh Nerd Herd,,
5,Hike and Picnic at Umstead,<br />,2013-06-15,2013-06-13 02:49:08.66004,2013-06-13 02:49:08.66004,http://www.meetup.com/Raleigh-Nerd-Herd/events/121701682/,Raleigh Nerd Herd,,
6,Explore Maker Faire NC in Raleigh!,"<p>The Alamance Makers Guild is pleased to announce that we will be exhibiting again this year at the 4th Annual Maker Faire NC at the Kerr Scott Building at the NC State Fair Grounds in Raleigh.</p>
<p>Some of our members will be showing off their projects, arts, crafts, and giving demonstrations and talking to the public along with many other exciting, inventive, and creative makers from all over North Carolina and the Eastern US.</p>
<p>Please commit to supporting your fellow Alamance Makers by coming and bringing family and friends. Tell all your neighbors, co-workers, and any passers by that you can get to listen to you! Help spread the word!</p>
<p>Whether you are exhibiting with us OR just coming out to enjoy the show, please RSVP for this event to show your support!</p>
<p>Looking forward to seeing as many of you at this show as possible. <br />

More info about Maker Faire NC (and to order tickets) can be found at: <br />

<a href=""http://makerfairenc.com/"" class=""linkified"">http://makerfairenc.com/</a></p>
<p>They also have a facebook page at: <br />

<a href=""https://www.facebook.com/makerfairenc"" class=""linkified"">https://www.facebook.com/makerfairenc</a></p>
<p>So far our Alamance Makers Guild exhibit will include: <br />

Robotics, Woodworking, Science Experiments, Recycled Crochet and Plarning, Blacksmithing, Glass Blowing, 3D printing, Tesla Coils, Electronics and more! We also plan on a powerful projector (thanks to Bob) to show pictures of our events, projects, members, etc. Its also not too late to exhibit with us (depending on your space requirements) talk to Ben at ben.harris@harris-educational.com if you want to be part of our booth.</p>
<p>You'll also see some familiar faces at the show, including folks who have volunteered their time and effort to come out and speak to the AMG at past events.</p>
<p>Looking forward to June!</p>",2013-06-15,2013-06-13 02:49:08.66676,2013-06-13 02:49:08.66676,http://www.meetup.com/The-Burlington-Makers-Meetup-Group/events/116349542/,The Burlington Makers Meetup Group,,
7,Monthly Bitcoin Meetup (3rd Saturday),<p>Meet at Panera Bread and talk about bitcoin while eating a late lunch. Bring topics you want to talk about.</p>,2013-06-15,2013-06-13 02:49:08.674058,2013-06-13 02:49:08.674058,http://www.meetup.com/Triangle-Bitcoin-Meetup/events/122473572/,Triangle Bitcoin Meetup,,
8,Triangle Arduino Hack Afternoon,"<p><img src=""http://photos4.meetupstatic.com/photos/event/e/1/f/2/event_180357842.jpeg"" style=""max-height : 700px ; max-width : 700px ; margin : 5px ; float : left""></img><span style=""color : #12466b ; font-size : large""><strong>Triangle Arduino &amp; Microcontrollers Club</strong></span></p>
<p>It's time again for Triangle Arduino Hack Afternoon at SplatSpace!</p>
<p>What is an Arduino? See these links for more info: <br />

 <a href=""http://arduino.cc/"" target=""_blank""></a><a href=""http://arduino.cc/"" target=""_blank"">http://arduino.cc/</a>... <br />

 <a target=""_blank"">http://trianglearduino.com/</a>...</p>
<p>No prior experience is required to attend hack afternoon and you don't even need to own an Arduino. There are plenty of members who will be glad to let you look over their shoulder and ask questions. Some will even hand you some parts and let you tinker. If you have your own parts, definitely bring them. We have lots of space and everyone should have room to work on a reasonably sized project.</p>
<p>You don't need to be a member of SplatSpace in order to attend, but please do ask about the membership options while you're there. It's a great group of folks and, if you're into Ard <br />

 uino, there's a good chance that you'll share interests with many of our members.</p>
<p>Go here for directions to SplatSpace: <a href=""http://splatspace.org"" target=""_blank"">http://splatspace.org/location/</a>...</p>
<p>If anyone has projects they'd like to collaborate on, feel free to start a conversation on the trianglearduino@googlegroups.com mailing list. This announcement has also been cross-posted to that list.</p>
<p>We hope to see you there!</p>",2013-06-16,2013-06-13 02:49:08.680937,2013-06-13 02:49:08.680937,http://www.meetup.com/splatspace/events/123747642/,Splat Space - Durham's Hackerspace,,
9,Software Project Night,"<p>Come to Software Project Night with a project that you want to show off, you want to ask others for help with, or that you just want to work on.</p>
<p>Come to Software Project Night with a software topic you want to talk about because you think it's cool, or you want to understand it better.</p>
<p>Come to Software Project Night if you're a beginner or an expert programmer:  sharing <strong>your</strong> unique perspective on software is what makes Software Project Night work!</p>",2013-06-16,2013-06-13 02:49:08.688,2013-06-13 02:49:08.688,http://www.meetup.com/splatspace/events/123860012/,Splat Space - Durham's Hackerspace,,
10,iOS users meetup,"<p>Our previous place was fantastic, but they have business needs for the space we were using, so we're on our own again, cast into the wind…</p>
<p>The Executive Committee met last month at Pomodoro and we had decided to try there, but the room is in use each Monday by another group, plus the wifi was less than stellar.</p>
<p> </p>
<p>Blend is a fine little place with well-lit parking off-street, outside seating, if we prefer, and they have generously offered to stay open for us on Mondays.</p>",2013-06-17,2013-06-13 02:49:08.695291,2013-06-13 02:49:08.695291,http://www.meetup.com/TMUGNC/events/124170702/,Triangle Macintosh Meetup,,
